timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480562.489:    182  79  10  767
1477480562.490:    122  79  10  767
1477480562.490:     58  79  10  767
1477480562.490:     -7  79  10  767
1477480562.490:    -61  79  10  767
1477480562.491:    -72  79  10  767
1477480562.491:     21  79  10  767
1477480562.491:    246  79  10  767
1477480562.491:    553  79  10  767
1477480562.491:    796  79  10  767
1477480562.491:    837  79  10  767
1477480562.492:    658  79  10  767
1477480562.492:    358  79  10  767
1477480562.492:     31  79  10  767
1477480562.492:   -359  79  10  767
1477480562.493:   -999  79  10  767
1477480562.494:  -2102  79  10  767
1477480562.497:  -3792  79  10  767
1477480562.499:  -6089  79  10  767
1477480562.504:  -8920  79  10  767
1477480562.504: -12088  79  10  767
1477480562.506: -15233  79  10  767
1477480562.522: -17937  79  10  767
1477480562.523: -19933  79  10  767
1477480562.523: -21184  79  10  767
1477480562.523: -21718  79  10  767
1477480562.523: -21363  79  10  767
1477480562.523: -19779  79  10  767
1477480562.524: -16836  79  10  767
1477480562.524: -12943  79  10  767
1477480562.524:  -8917  79  10  767
1477480562.525:  -5455  79  10  767
1477480562.527:  -2740  79  10  767
1477480562.531:   -558  79  10  767
1477480562.531:   1256  79  10  767
1477480562.533:   2584  79  10  767
1477480562.534:   3214  79  10  767
1477480562.536:   3171  79  10  767
1477480562.538:   2784  79  10  767
1477480562.540:   2446  79  10  767
1477480562.563:   2367  79  10  767
1477480562.563:   2542  79  10  767
1477480562.564:   2908  79  10  767
1477480562.564:   3417  79  10  767
1477480562.565:   4009  79  10  767
1477480562.565:   4558  79  10  767
1477480562.565:   4923  79  10  767
1477480562.566:   5040  79  10  767
1477480562.566:   4951  79  10  767
1477480562.566:   4760  79  10  767
1477480562.566:   4563  79  10  767
1477480562.566:   4415  79  10  767
1477480562.567:   4348  79  10  767
1477480562.567:   4370  79  10  767
1477480562.569:   4457  79  10  767
1477480562.573:   4555  79  10  767
1477480562.574:   4606  79  10  767
1477480562.577:   4581  79  10  767
1477480562.587:   4481  79  10  767
1477480562.587:   4335  79  10  767
1477480562.587:   4182  79  10  767
1477480562.587:   4054  79  10  767
1477480562.587:   3971  79  10  767
1477480562.587:   3931  79  10  767
1477480562.592:   3920  79  10  767
1477480562.592:   3917  79  10  767
1477480562.595:   3900  79  10  767
1477480562.595:   3853  79  10  767
1477480562.600:   3776  79  10  767
1477480562.600:   3679  79  10  767
1477480562.602:   3583  79  10  767
1477480562.605:   3498  79  10  767
1477480562.616:   3423  79  10  767
1477480562.617:   3351  79  10  767
1477480562.617:   3285  79  10  767
1477480562.618:   3235  79  10  767
1477480562.618:   3205  79  10  767
1477480562.618:   3176  79  10  767
1477480562.619:   3128  79  10  767
1477480562.619:   3055  79  10  767
1477480562.620:   2977  79  10  767
1477480562.623:   2915  79  10  767
1477480562.624:   2870  79  10  767
1477480562.626:   2827  79  10  767
1477480562.636:   2776  79  10  767
1477480562.636:   2724  79  10  767
1477480562.637:   2680  79  10  767
1477480562.637:   2646  79  10  767
1477480562.637:   2612  79  10  767
1477480562.638:   2572  79  10  767
1477480562.639:   2530  79  10  767
1477480562.645:   2495  79  10  767
1477480562.645:   2465  79  10  767
1477480562.646:   2436  78  10  766
1477480562.648:   2400  78  10  766
1477480562.649:   2361  78  10  766
1477480562.659:   2322  78  10  766
1477480562.659:   2285  78  10  766
1477480562.660:   2247  78  10  766
1477480562.660:   2209  78  10  766
1477480562.660:   2174  78  10  766
1477480562.664:   2146  78  10  766
1477480562.664:   2119  78  10  766
1477480562.666:   2088  78  10  766
1477480562.668:   2051  78  10  766
1477480562.669:   2016  78  10  766
1477480562.672:   1992  78  10  766
1477480562.673:   1976  78  10  766
1477480562.678:   1959  78  10  766
1477480562.678:   1932  78  10  766
1477480562.679:   1897  78  10  766
1477480562.682:   1865  78  10  766
1477480562.696:   1843  78  10  766
1477480562.697:   1826  78  10  766
1477480562.697:   1809  78  10  766
1477480562.697:   1783  78  10  766
1477480562.697:   1751  78  10  766
1477480562.698:   1717  78  10  766
1477480562.698:   1685  78  10  766
1477480562.701:   1655  78  10  766
1477480562.702:   1628  78  10  766
1477480562.703:   1601  78  10  766
1477480562.704:   1574  78  10  766
1477480562.704:   1546  78  10  766
1477480562.707:   1518  78  10  766
1477480562.709:   1491  78  10  766
1477480562.718:   1468  78  10  766
1477480562.718:   1447  78  10  766
1477480562.718:   1424  78  10  766
1477480562.718:   1396  78  10  766
1477480562.718:   1365  78  10  766
1477480562.721:   1333  78  10  766
1477480562.726:   1305  78  10  766
1477480562.731:   1279  78  10  766
1477480562.737:   1253  78  10  766
1477480562.738:   1223  78  10  766
1477480562.739:   1193  78  10  766
1477480562.739:   1165  78  10  766
1477480562.740:   1145  78  10  766
1477480562.741:   1135  78  10  766
1477480562.742:   1131  78  10  766
1477480562.743:   1125  78  10  766
1477480562.744:   1112  78  10  766
1477480562.746:   1094  78  10  766
1477480562.757:   1075  78  10  766
1477480562.757:   1058  78  10  766
1477480562.758:   1037  78  10  766
1477480562.759:   1012  78  10  766
1477480562.759:    983  78  10  766
1477480562.761:    956  78  10  766
1477480562.761:    930  78  10  766
1477480562.762:    905  78  10  766
1477480562.763:    880  78  10  766
1477480562.764:    862  78  10  766
1477480562.772:    852  78  10  766
1477480562.772:    846  78  10  766
1477480562.776:    837  78  10  766
1477480562.777:    819  78  10  766
1477480562.777:    797  78  10  766
1477480562.777:    778  78  10  766
1477480562.779:    762  78  10  766
1477480562.779:    744  78  10  766
1477480562.782:    721  78  10  766
1477480562.783:    696  78  10  766
1477480562.788:    674  78  10  766
1477480562.788:    655  78  10  766
1477480562.795:    638  78  10  766
